"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"11516","GO:0045595",5.75937069602952e-06,0.999996448350404,178,1505,"regulation of cell differentiation","BP",0.00217673052541913
"4612","GO:0010558",5.8247800548749e-06,0.999996525415223,145,1175,"negative regulation of macromolecule biosynthetic process","BP",0.00217673052541913
"7493","GO:0031324",6.25313747927945e-06,0.99999601094983,227,2018,"negative regulation of cellular metabolic process","BP",0.00226537206469216
"6889","GO:0030098",6.27467967780093e-06,0.999997294399912,50,305,"lymphocyte differentiation","BP",0.00226537206469216
"13191","GO:0051253",6.64265665096267e-06,0.999996095450377,132,1052,"negative regulation of RNA metabolic process","BP",0.00228554804613759
"793","GO:0002053",6.67620344826801e-06,0.999999072276358,12,31,"positive regulation of mesenchymal cell proliferation","BP",0.00228554804613759
"4370","GO:0009605",6.71985276923014e-06,0.999995643926786,203,1788,"response to external stimulus","BP",0.00228554804613759
"4443","GO:0009890",6.86116043643219e-06,0.999995861282708,152,1250,"negative regulation of biosynthetic process","BP",0.00228554804613759
"417","GO:0001221",6.98526950060067e-06,0.999998688411203,15,47,"transcription cofactor binding","MF",0.00228554804613759
"1164","GO:0002694",6.99812963014814e-06,0.99999672721966,62,411,"regulation of leukocyte activation","BP",0.00228554804613759
"12519","GO:0048523",7.08164738956298e-06,0.99999491182938,393,3815,"negative regulation of cellular process","BP",0.00228554804613759
"14894","GO:0065009",8.36866245794385e-06,0.999994388301867,223,2003,"regulation of molecular function","BP",0.00266061013457705
"20654","GO:2000113",9.5159508052033e-06,0.999994151591583,141,1144,"negative regulation of cellular macromolecule biosynthetic process","BP",0.00298087158972993
"16372","GO:0080090",1.00751282328665e-05,0.999992624226639,422,4147,"regulation of primary metabolic process","BP",0.00311029429693172
"12515","GO:0048519",1.05914490044551e-05,0.999992241301526,422,4162,"negative regulation of biological process","BP",0.00322297793205569
"15599","GO:0071345",1.12623892854222e-05,0.999993910809211,80,582,"cellular response to cytokine stimulus","BP",0.00335092641347696
"3329","GO:0006875",1.13265434378828e-05,0.999994466818324,61,412,"cellular metal ion homeostasis","BP",0.00335092641347696
"10698","GO:0043269",1.20419668296981e-05,0.999993652551071,73,518,"regulation of ion transport","BP",0.00351377993752602
"4638","GO:0010605",1.23486668766229e-05,0.9999915059368,237,2145,"negative regulation of macromolecule metabolic process","BP",0.00355458044782357
"15265","GO:0070661",1.34759421843405e-05,0.999994295513853,41,241,"leukocyte proliferation","BP",0.00379992141831709
"13139","GO:0051171",1.35577685457067e-05,0.999990057546678,410,4026,"regulation of nitrogen compound metabolic process","BP",0.00379992141831709
"21203","GO:2001141",1.40826376977525e-05,0.999990263306565,243,2199,"regulation of RNA biosynthetic process","BP",0.00389576968311461
"2965","GO:0006355",1.42759858300814e-05,0.9999901325683,242,2189,"regulation of transcription, DNA-templated","BP",0.00389862530982773
"8806","GO:0034097",1.4606673370096e-05,0.999991831009531,88,664,"response to cytokine","BP",0.0039384398665369
"7265","GO:0030888",1.588761797843e-05,0.999996506178849,16,57,"regulation of B cell proliferation","BP",0.00420422443671852
"6890","GO:0030099",1.59871451750716e-05,0.999992493565951,51,331,"myeloid cell differentiation","BP",0.00420422443671852
"4571","GO:0010464",1.66761655244769e-05,0.999997094612089,13,39,"regulation of mesenchymal cell proliferation","BP",0.00433193904679124
"12511","GO:0048513",1.72549945321216e-05,0.999987752800759,276,2552,"animal organ development","BP",0.00442829684974364
"9154","GO:0034762",1.84995039320604e-05,0.999990763591513,62,424,"regulation of transmembrane transport","BP",0.00462377182468825
"19133","GO:1903506",1.88318326285516e-05,0.9999868231019,242,2197,"regulation of nucleic acid-templated transcription","BP",0.00462377182468825
"16282","GO:0072593",1.8873429073304e-05,0.99999213243276,38,228,"reactive oxygen species metabolic process","BP",0.00462377182468825
"4371","GO:0009607",1.8884941962719e-05,0.999988615209483,111,900,"response to biotic stimulus","BP",0.00462377182468825
"10850","GO:0043534",1.98587737114825e-05,0.999993911482723,23,103,"blood vessel endothelial cell migration","BP",0.00476502252780883
"4610","GO:0010556",1.9909253320266e-05,0.999985793129439,284,2653,"regulation of macromolecule biosynthetic process","BP",0.00476502252780883
"4450","GO:0009897",2.04267426717733e-05,0.999990816245942,46,290,"external side of plasma membrane","CC",0.00478753574729189
"10369","GO:0042592",2.04528309940173e-05,0.999986503938628,168,1453,"homeostatic process","BP",0.00478753574729189
"11713","GO:0045934",2.11116175163335e-05,0.999986666189745,138,1136,"negative regulation of nucleobase-containing compound metabolic process","BP",0.00488802787734152
"18425","GO:1901700",2.29432846378578e-05,0.999985581034518,133,1101,"response to oxygen-containing compound","BP",0.00525499899001085
"4652","GO:0010628",2.32767841812182e-05,0.999984153159395,203,1799,"positive regulation of gene expression","BP",0.00527466787068222
"4445","GO:0009892",2.36157404752827e-05,0.999983215475365,255,2358,"negative regulation of metabolic process","BP",0.00529514618804208
"15374","GO:0070887",2.45409651861928e-05,0.999982715481685,236,2164,"cellular response to chemical stimulus","BP",0.00544528228574055
"6951","GO:0030183",2.52452453738915e-05,0.999992125630509,23,104,"B cell differentiation","BP",0.00549106283648252
"3855","GO:0008285",2.55030379486617e-05,0.999986078733874,76,552,"negative regulation of cell population proliferation","BP",0.00549106283648252
"902","GO:0002250",2.5762491076371e-05,0.999987763048995,50,327,"adaptive immune response","BP",0.00549106283648252
"13085","GO:0051093",2.6046329126066e-05,0.999984312441061,107,842,"negative regulation of developmental process","BP",0.00549106283648252
"4441","GO:0009888",2.64285465217936e-05,0.999982379250724,174,1491,"tissue development","BP",0.00549106283648252
"13185","GO:0051247",2.66132226451563e-05,0.999982422906959,158,1355,"positive regulation of protein metabolic process","BP",0.00549106283648252
"13816","GO:0060021",2.67262531843985e-05,0.999992803855966,19,76,"roof of mouth development","BP",0.00549106283648252
"1558","GO:0003690",2.680956457416e-05,0.999984174738258,98,746,"double-stranded DNA binding","MF",0.00549106283648252
"4488","GO:0010033",2.72017777725375e-05,0.999980840065258,233,2132,"response to organic substance","BP",0.0055183339841221
"20544","GO:1990837",2.77790140971208e-05,0.999983934093639,90,668,"sequence-specific double-stranded DNA binding","MF",0.005541691388499
"12930","GO:0050853",2.78372366822869e-05,0.99999483303975,13,41,"B cell receptor signaling pathway","BP",0.005541691388499
"4633","GO:0010594",3.17230107880326e-05,0.999988782436199,27,136,"regulation of endothelial cell migration","BP",0.00625677641477668
"3483","GO:0007154",3.41934906907916e-05,0.999974147872442,430,4324,"cell communication","BP",0.00668216096517938
"9421","GO:0035556",3.58627067390049e-05,0.999974680256044,223,2016,"intracellular signal transduction","BP",0.0068467383295023
"10657","GO:0043207",3.59999386368836e-05,0.999977959388793,107,874,"response to external biotic stimulus","BP",0.0068467383295023
"13436","GO:0051707",3.59999386368836e-05,0.999977959388793,107,874,"response to other organism","BP",0.0068467383295023
"8768","GO:0033993",3.69148349523155e-05,0.999979738545839,72,521,"response to lipid","BP",0.00695860972848913
"20653","GO:2000112",3.74739815975325e-05,0.999972747501004,275,2575,"regulation of cellular macromolecule biosynthetic process","BP",0.00700204633341264
"4442","GO:0009889",3.89069400559862e-05,0.999971530929298,297,2820,"regulation of biosynthetic process","BP",0.00720658026202229
"13187","GO:0051249",3.938041293883e-05,0.999980717762573,51,336,"regulation of lymphocyte activation","BP",0.00723139806905188
"359","GO:0000978",4.47139638498428e-05,0.999976444491888,62,422,"RNA polymerase II cis-regulatory region sequence-specific DNA binding","MF",0.00814061661508975
"10175","GO:0042221",4.61489535538042e-05,0.999965953020287,298,2855,"response to chemical","BP",0.00833066830211511
"3761","GO:0008134",4.9801205079396e-05,0.999971124787155,83,623,"transcription factor binding","MF",0.00891441570921189
"3383","GO:0006955",5.09843403210001e-05,0.999967796113977,116,966,"immune response","BP",0.00900551751049288
"13190","GO:0051252",5.11557024914154e-05,0.999962862237219,259,2410,"regulation of RNA metabolic process","BP",0.00900551751049288
"8413","GO:0032944",5.607385088949e-05,0.999977690072398,31,174,"regulation of mononuclear cell proliferation","BP",0.00979040244095923
"7492","GO:0031323",5.6687330760432e-05,0.999956572689213,431,4318,"regulation of cellular metabolic process","BP",0.00981704741892652
"362","GO:0000987",5.78534913562116e-05,0.999968946626794,63,434,"cis-regulatory region sequence-specific DNA binding","MF",0.009938203382086
"20821","GO:2000379",5.84797031737561e-05,0.999983025046585,19,85,"positive regulation of reactive oxygen species metabolic process","BP",0.00996430337637757
"13756","GO:0055065",5.89409992687467e-05,0.999968109133273,65,470,"metal ion homeostasis","BP",0.00996430337637757
"7495","GO:0031326",6.31835355598347e-05,0.999953281926476,290,2759,"regulation of cellular biosynthetic process","BP",0.0105974211886617
"14483","GO:0061061",6.84040990981387e-05,0.999960584033322,78,590,"muscle structure development","BP",0.0113834040225739
"10877","GO:0043565",7.09521272144028e-05,0.999955802290317,105,829,"sequence-specific DNA binding","MF",0.011715901254217
"2961","GO:0006351",7.26625837010963e-05,0.999947174828466,245,2278,"transcription, DNA-templated","BP",0.0118234790175571
"9157","GO:0034765",7.2713757631096e-05,0.999963441056525,51,346,"regulation of ion transmembrane transport","BP",0.0118234790175571
"3327","GO:0006873",7.56030850565278e-05,0.99995873847813,64,465,"cellular ion homeostasis","BP",0.012200161475675
"11845","GO:0046209",7.66178998364091e-05,0.999980304297781,16,64,"nitric oxide metabolic process","BP",0.0122709615369575
"3853","GO:0008283",8.09053901975995e-05,0.999943863396815,175,1563,"cell population proliferation","BP",0.0128609381835751
"8299","GO:0032774",8.32330879560283e-05,0.999939309455977,246,2293,"RNA biosynthetic process","BP",0.0131113754199565
"13973","GO:0060255",8.37118941417813e-05,0.999935367670274,438,4412,"regulation of macromolecule metabolic process","BP",0.0131113754199565
"4399","GO:0009719",8.58718646480742e-05,0.999943781852196,128,1066,"response to endogenous stimulus","BP",0.0133515079479462
"6844","GO:0030003",8.66390118117508e-05,0.999952606185173,63,458,"cellular cation homeostasis","BP",0.013373170946392
"3494","GO:0007165",8.96527952183763e-05,0.999931264233361,389,3908,"signal transduction","BP",0.0137388071291125
"17129","GO:0097659",9.21289758328321e-05,0.999932642757924,245,2286,"nucleic acid-templated transcription","BP",0.0140174236729654
"13770","GO:0055082",9.57322643938559e-05,0.999944428171066,76,582,"cellular chemical homeostasis","BP",0.0144623614457697
"11549","GO:0045637",0.000101020082152297,0.999958966249773,30,176,"regulation of myeloid cell differentiation","BP",0.0151537237318738
"19231","GO:1903706",0.000102325001692602,0.999948761525147,48,327,"regulation of hemopoiesis","BP",0.0152421318954833
"15697","GO:0071495",0.000104127806167126,0.999933077454715,114,926,"cellular response to endogenous stimulus","BP",0.0154029611053191
"6221","GO:0019219",0.00010530330578347,0.999921670776301,276,2620,"regulation of nucleobase-containing compound metabolic process","BP",0.0154694187344393
"12805","GO:0050670",0.000107273172559173,0.999956337137563,30,172,"regulation of lymphocyte proliferation","BP",0.0156508619772805
"4575","GO:0010468",0.00011201754085078,0.999914971476288,331,3236,"regulation of gene expression","BP",0.0162318750861392
"12965","GO:0050896",0.000125001426996477,0.999901647623816,576,6092,"response to stimulus","BP",0.0179909148408916
"4890","GO:0010959",0.000126408616658757,0.999936597110809,47,319,"regulation of metal ion transport","BP",0.0180713419023369
"18426","GO:1901701",0.000130590917213807,0.999917551666807,101,820,"cellular response to oxygen-containing compound","BP",0.0184246276581571
"6927","GO:0030154",0.000130609773080218,0.999900886967094,319,3084,"cell differentiation","BP",0.0184246276581571
"15267","GO:0070663",0.000131968990355289,0.999944653526468,31,182,"regulation of leukocyte proliferation","BP",0.0184938912076185
"4878","GO:0010941",0.000139859612027039,0.999903652860021,154,1375,"regulation of cell death","BP",0.0194185083086315
"7747","GO:0031800",0.000140390135652282,1,3,3,"type 3 metabotropic glutamate receptor binding","MF",0.0194185083086315
"11149","GO:0044419",0.00014237392688213,0.999906175157837,122,1055,"interspecies interaction between organisms","BP",0.0195658517194597
"4655","GO:0010632",0.000146105351131214,0.999936521070322,33,194,"regulation of epithelial cell migration","BP",0.0199499364387563
"17279","GO:0098771",0.000147096879848658,0.999915273277373,70,531,"inorganic ion homeostasis","BP",0.0199573925965367
"619","GO:0001818",0.000149426688524167,0.99993395732782,34,208,"negative regulation of cytokine production","BP",0.0201109921689607
"13768","GO:0055080",0.000150831495955804,0.999913276930265,69,522,"cation homeostasis","BP",0.0201109921689607
"21190","GO:2001057",0.00015106139369202,0.999958367690421,16,68,"reactive nitrogen species metabolic process","BP",0.0201109921689607
"6837","GO:0023052",0.000158696282485768,0.999876356974803,420,4275,"signaling","BP",0.020996208156704
"13319","GO:0051480",0.000164275769250446,0.999921665129928,40,256,"regulation of cytosolic calcium ion concentration","BP",0.0215109461179384
"12944","GO:0050867",0.000164606554491524,0.999921468377141,40,258,"positive regulation of cell activation","BP",0.0215109461179384
"17178","GO:0098542",0.0001771667552877,0.999893519201331,79,630,"defense response to other organism","BP",0.0230111527706299
"12695","GO:0048869",0.000190879870646812,0.999853956429888,323,3146,"cellular developmental process","BP",0.0246420128766529
"4449","GO:0009896",0.000200500332653767,0.999891450463478,55,387,"positive regulation of catabolic process","BP",0.0256237741402211
"432","GO:0001501",0.000200890581729352,0.999888069373218,60,431,"skeletal system development","BP",0.0256237741402211
"11478","GO:0045453",0.000205994647096447,0.999947861055153,14,55,"bone resorption","BP",0.0260587247590127
"12629","GO:0048730",0.000206747311594439,0.999968238177278,9,25,"epidermis morphogenesis","BP",0.0260587247590127
"13184","GO:0051246",0.000208049037411692,0.999846180349481,232,2193,"regulation of protein metabolic process","BP",0.026068544387685
"6224","GO:0019222",0.000214485548139163,0.99983104630035,465,4771,"regulation of metabolic process","BP",0.0267178752100136
"12703","GO:0048878",0.000218009816475229,0.999859149565513,104,869,"chemical homeostasis","BP",0.0269989947717376
"9963","GO:0038089",0.000222235809035771,0.999989658819576,5,8,"positive regulation of cell migration by vascular endothelial growth factor signaling pathway","BP",0.0273632657125489
"1166","GO:0002696",0.000224666519843805,0.999893251546281,38,245,"positive regulation of leukocyte activation","BP",0.027503572064327
"8228","GO:0032651",0.000230272243825895,0.999940604022629,14,58,"regulation of interleukin-1 beta production","BP",0.0280287375184879
"4570","GO:0010463",0.000234878556418193,0.999943674081051,13,49,"mesenchymal cell proliferation","BP",0.0284269780128632
"12017","GO:0046631",0.000237801446164302,0.999909735668346,24,128,"alpha-beta T cell activation","BP",0.0286181277104282
"17181","GO:0098552",0.000240627205173269,0.999865465754724,59,438,"side of membrane","CC",0.0287955061651449
"20610","GO:2000026",0.000242557133623046,0.99982528727668,187,1696,"regulation of multicellular organismal development","BP",0.0288642989011425
"12896","GO:0050801",0.000244233491596191,0.999853593306735,75,587,"ion homeostasis","BP",0.028902320024947
"14185","GO:0060537",0.000253393366619846,0.999860443971182,56,401,"muscle tissue development","BP",0.0298206193501068
"12018","GO:0046632",0.000256330256904026,0.999915535870234,19,91,"alpha-beta T cell differentiation","BP",0.0300004989138058
"12941","GO:0050864",0.000281719598171484,0.99989997453747,21,107,"regulation of B cell activation","BP",0.0327918533368896
"10125","GO:0042110",0.000308950920707995,0.999831232373201,53,384,"T cell activation","BP",0.0357661063152229
"7962","GO:0032270",0.000315111073588358,0.999781383954949,142,1257,"positive regulation of cellular protein metabolic process","BP",0.0362820593432736
"10852","GO:0043536",0.000334215766164499,0.999916214479874,13,51,"positive regulation of blood vessel endothelial cell migration","BP",0.0382748926616667
"5075","GO:0014910",0.000339468828255358,0.999893893661451,17,78,"regulation of smooth muscle cell migration","BP",0.0386645732881858
"13061","GO:0051049",0.000341248757249844,0.999757178759342,163,1482,"regulation of transport","BP",0.0386645732881858
"618","GO:0001817",0.000343336791046864,0.999795329264311,70,544,"regulation of cytokine production","BP",0.0386953279687261
"4400","GO:0009725",0.000350750702034663,0.999790774781869,70,541,"response to hormone","BP",0.0393228458107387
"6976","GO:0030217",0.000381355865219526,0.99981962725539,35,223,"T cell differentiation","BP",0.0425301637960268
"14893","GO:0065008",0.000404671650321939,0.99968761866007,304,2984,"regulation of biological quality","BP",0.0447148627137648
"18301","GO:1901362",0.000405435841879556,0.999689424581404,281,2752,"organic cyclic compound biosynthetic process","BP",0.0447148627137648
"21170","GO:2001026",0.000407243010491074,0.999950126780604,7,18,"regulation of endothelial cell chemotaxis","BP",0.0447148627137648
"4133","GO:0009059",0.000412092407077718,0.999679312301985,331,3341,"macromolecule biosynthetic process","BP",0.0450152839136537
"424","GO:0001228",0.000414975461213925,0.999781090294427,46,312,"DNA-binding transcription activator activity, RNA polymerase II-specific","MF",0.0450989403026419
"18465","GO:1901861",0.000424765840771065,0.999824198078604,26,147,"regulation of muscle tissue development","BP",0.0459191638701022
"8200","GO:0032611",0.000426834160193429,0.999875168782728,15,68,"interleukin-1 beta production","BP",0.0459191638701022
"3379","GO:0006950",0.000431475309337197,0.999669526123925,277,2732,"response to stress","BP",0.046185203840159
"1031","GO:0002460",0.000434001901200856,0.999790464635493,36,238,"adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","BP",0.0462233724873972
"12880","GO:0050776",0.000436694603197017,0.999739176585061,68,533,"regulation of immune response","BP",0.0462787648890531
"10765","GO:0043392",0.000443037782184387,0.999901373795045,11,41,"negative regulation of DNA binding","BP",0.0466738851294313
"11021","GO:0044093",0.000444805346287712,0.999691048652473,135,1200,"positive regulation of molecular function","BP",0.0466738851294313
"415","GO:0001216",0.000447514013168241,0.999763016451076,46,313,"DNA-binding transcription activator activity","MF",0.0467279215416505
"7882","GO:0032101",0.000452755396678389,0.999713477562102,85,695,"regulation of response to external stimulus","BP",0.0470445985592505
"3291","GO:0006809",0.00045761624189711,0.999872731967829,14,60,"nitric oxide biosynthetic process","BP",0.047231125244653
"14194","GO:0060548",0.00045898516152496,0.999699385192714,99,841,"negative regulation of cell death","BP",0.047231125244653
"8366","GO:0032879",0.00046982663538721,0.999646014497686,235,2241,"regulation of localization","BP",0.0481143132710719
"20819","GO:2000377",0.000481232498817,0.999794469719092,27,164,"regulation of reactive oxygen species metabolic process","BP",0.0490465715660331
"2493","GO:0005515",0.00050120009304479,0.999596300919752,651,6991,"protein binding","MF",0.0507188021436336
"13442","GO:0051716",0.000502402105643242,0.999597657166119,485,5089,"cellular response to stimulus","BP",0.0507188021436336
"16490","GO:0090049",0.000512575063903988,0.999894776372862,10,35,"regulation of cell migration involved in sprouting angiogenesis","BP",0.0515017048878248
"3632","GO:0007517",0.000519661139095493,0.999716393321635,49,352,"muscle organ development","BP",0.051968553633207
"14463","GO:0061035",0.000539508535153562,0.999847342684538,14,60,"regulation of cartilage development","BP",0.0537012677911497
"12545","GO:0048583",0.000554098488656697,0.999569965877602,302,2975,"regulation of response to stimulus","BP",0.054613377213183
"10858","GO:0043542",0.000557381371637015,0.999751597203853,29,176,"endothelial cell migration","BP",0.054613377213183
"1025","GO:0002449",0.000557657984948318,0.99973622230052,33,217,"lymphocyte mediated immunity","BP",0.054613377213183
"10582","GO:0043067",0.000560244392205547,0.999606741940739,138,1249,"regulation of programmed cell death","BP",0.054613377213183
"9090","GO:0034654",0.000564037273855635,0.999567273185361,267,2606,"nucleobase-containing compound biosynthetic process","BP",0.054613377213183
"3380","GO:0006952",0.000564055348899125,0.999617361712172,114,1007,"defense response","BP",0.054613377213183
"1092","GO:0002573",0.000571129791316541,0.999749226001908,28,168,"myeloid leukocyte differentiation","BP",0.0550481252707405
"12812","GO:0050678",0.000579494079537002,0.999698250167384,42,294,"regulation of epithelial cell proliferation","BP",0.0555591728446802
"3854","GO:0008284",0.000581648539710046,0.999624608159862,89,743,"positive regulation of cell population proliferation","BP",0.0555591728446802
"10527","GO:0042981",0.000595457874693702,0.999582258579932,136,1229,"regulation of apoptotic process","BP",0.0566243222716542
"18560","GO:1902107",0.00060679784457579,0.999757818138722,23,129,"positive regulation of leukocyte differentiation","BP",0.0574462261658174
"4692","GO:0010692",0.000611919633738585,0.999959650271745,5,9,"regulation of alkaline phosphatase activity","BP",0.057674779284361
"15635","GO:0071396",0.000616737602302133,0.999658394323543,50,362,"cellular response to lipid","BP",0.057872809104131
"617","GO:0001816",0.000632539734364936,0.999606662598577,75,603,"cytokine production","BP",0.0590953021127522
"7267","GO:0030890",0.000644176538407322,0.999862934982176,10,36,"positive regulation of B cell proliferation","BP",0.0599196700638182
"12651","GO:0048771",0.000651793763595919,0.999721631900506,26,150,"tissue remodeling","BP",0.0603646041667681
"9942","GO:0038033",0.000673350869093107,0.999975635195289,4,6,"positive regulation of endothelial cell chemotaxis by VEGF-activated vascular endothelial growth factor receptor signaling pathway","BP",0.0611022936219315
"17617","GO:0099629",0.000673497211713867,1,3,3,"postsynaptic specialization of symmetric synapse","CC",0.0611022936219315
"3293","GO:0006811",0.000673594350519218,0.999532100339938,126,1116,"ion transport","BP",0.0611022936219315
"1019","GO:0002443",0.000674176596771666,0.999652058183626,40,281,"leukocyte mediated immunity","BP",0.0611022936219315
"3495","GO:0007166",0.000675692152235577,0.999496386097411,201,1873,"cell surface receptor signaling pathway","BP",0.0611022936219315
"8358","GO:0032870",0.000679138175265715,0.999610765676677,55,408,"cellular response to hormone stimulus","BP",0.0611022936219315
"12359","GO:0048070",0.000679838673695965,0.999928598984896,6,14,"regulation of developmental pigmentation","BP",0.0611022936219315
