"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"4826","GO:0010898",0.00029714946090293,0.999978022238174,7,10,"positive regulation of triglyceride catabolic process","BP",0.114488985927163
"11087","GO:0044419",0.00030546776574191,0.999771880534194,240,1117,"interspecies interaction between organisms","BP",0.115592275425658
"18179","GO:1901361",0.000328189221774714,0.999796230657977,91,367,"organic cyclic compound catabolic process","BP",0.118410417867795
"6130","GO:0018995",0.000335266154125227,0.999967313779475,8,12,"host cellular component","CC",0.118410417867795
"8668","GO:0033643",0.000335266154125227,0.999967313779475,8,12,"host cell part","CC",0.118410417867795
"10871","GO:0043657",0.000335266154125227,0.999967313779475,8,12,"host cell","CC",0.118410417867795
"10761","GO:0043487",0.00034210828366944,0.999855283353461,32,97,"regulation of RNA stability","BP",0.118846174413756
"6763","GO:0022624",0.000351277828841461,0.999930197877258,12,25,"proteasome accessory complex","CC",0.120063362435152
"5438","GO:0016071",0.000365883289967409,0.999750778029671,135,581,"mRNA metabolic process","BP",0.121587354181825
"18940","GO:1903311",0.000367212055478119,0.999796206025775,61,223,"regulation of mRNA metabolic process","BP",0.121587354181825
"8772","GO:0034097",0.000434286130841898,0.999696046856488,152,665,"response to cytokine","BP",0.141583959979549
"13286","GO:0051607",0.000461562245000433,0.999751061104561,54,195,"defense response to virus","BP",0.144349978107476
"10132","GO:0042180",0.000462950032756103,0.999758820920906,49,173,"cellular ketone metabolic process","BP",0.144349978107476
"15483","GO:0071345",0.000463206007800877,0.999682434708758,135,580,"cellular response to cytokine stimulus","BP",0.144349978107476
"7093","GO:0030522",0.000474457632730577,0.99975282011953,49,171,"intracellular receptor signaling pathway","BP",0.145713502828894
"3392","GO:0006984",0.000501916781945965,0.999861877773141,16,38,"ER-nucleus signaling pathway","BP",0.151944550374528
"3153","GO:0006613",0.000552331444491933,0.999917213875492,9,17,"cotranslational protein targeting to membrane","BP",0.164851487890543
"16359","GO:0090085",0.000566277183470274,0.999934060071295,8,13,"regulation of protein deubiquitination","BP",0.166666386040536
"3902","GO:0008391",0.000612882738170302,0.99983672387884,15,35,"arachidonic acid monooxygenase activity","MF",0.17648278030323
"6282","GO:0019439",0.000616286430203342,0.99961451913185,85,345,"aromatic compound catabolic process","BP",0.17648278030323
"9061","GO:0034655",0.000635479796547236,0.999614865258688,75,298,"nucleobase-containing compound catabolic process","BP",0.179552698248433
"2656","GO:0005838",0.00065375345876954,0.999870136717847,11,23,"proteasome regulatory particle","CC",0.182285388747175
"7469","GO:0031329",0.000690758265528766,0.999512411730326,148,649,"regulation of cellular catabolic process","BP",0.190102057205456
"9637","GO:0035966",0.000724276788745171,0.999649676647468,38,128,"response to topologically incorrect protein","BP",0.194406579911781
"16440","GO:0090207",0.00072697528127918,0.999769128786682,18,47,"regulation of triglyceride metabolic process","BP",0.194406579911781
"5974","GO:0017148",0.00073392130588186,0.999653439602629,36,118,"negative regulation of translation","BP",0.194406579911781
"7471","GO:0031331",0.000778033030888929,0.999505235889054,88,355,"positive regulation of cellular catabolic process","BP",0.20122290500638
"9036","GO:0034620",0.000780463313475933,0.999684235930633,26,78,"cellular response to unfolded protein","BP",0.20122290500638
"8870","GO:0034249",0.000796371591187665,0.999604561063,40,136,"negative regulation of cellular amide metabolic process","BP",0.20122290500638
"10128","GO:0042175",0.000806974602154417,0.999451347624124,118,509,"nuclear outer membrane-endoplasmic reticulum membrane network","CC",0.20122290500638
"16752","GO:0097159",0.000807132599950086,0.999316354682266,822,4230,"organic cyclic compound binding","MF",0.20122290500638
"10425","GO:0042803",0.000848005790152734,0.999414335613837,127,550,"protein homodimerization activity","MF",0.207284096526677
"15263","GO:0070887",0.000851008276995937,0.999308482670147,430,2112,"cellular response to chemical stimulus","BP",0.207284096526677
"13020","GO:0051123",0.000911038067742033,0.999810895064894,11,23,"RNA polymerase II preinitiation complex assembly","BP",0.219384178335471
"8901","GO:0034341",0.000946414739168703,0.999560279258992,33,111,"response to interferon-gamma","BP",0.224009041929586
"9066","GO:0034663",0.000951385671920286,0.999900953702247,7,11,"endoplasmic reticulum chaperone complex","CC",0.224009041929586
"11223","GO:0045047",0.000968687830090965,0.999752065849839,13,32,"protein targeting to ER","BP",0.225576525356677
"13000","GO:0051090",0.00102882311478119,0.999349680035585,82,330,"regulation of DNA-binding transcription factor activity","BP",0.236975985057916
"15657","GO:0071614",0.00111435311472236,1,4,4,"linoleic acid epoxygenase activity","MF",0.253916740366469
"3165","GO:0006629",0.00115625486233919,0.999119165641189,223,1041,"lipid metabolic process","BP",0.260661667955637
"10617","GO:0043227",0.00118661856317947,0.998991545662679,1638,8922,"membrane-bounded organelle","CC",0.264690883919328
"10762","GO:0043488",0.00120003645147853,0.999477882899423,28,87,"regulation of mRNA stability","BP",0.264895546284182
"4328","GO:0009409",0.00126682123803006,0.999695092642496,12,27,"response to cold","BP",0.274185816799653
"6943","GO:0030218",0.00126800104036459,0.999391777893281,34,115,"erythrocyte differentiation","BP",0.274185816799653
"5824","GO:0016831",0.00135774867994589,0.999641823302563,13,31,"carboxy-lyase activity","MF",0.290626790674075
"4824","GO:0010896",0.00142598718977583,0.999782313895743,8,15,"regulation of triglyceride catabolic process","BP",0.301113143492728
"11000","GO:0044255",0.00143515773171467,0.998937186498263,175,799,"cellular lipid metabolic process","BP",0.301113143492728
"4635","GO:0010629",0.00145716803350657,0.998836676913418,320,1545,"negative regulation of gene expression","BP",0.302733801941547
"17181","GO:0098856",0.0015108948369019,0.999767065850397,8,15,"intestinal lipid absorption","BP",0.310848276590176
"5823","GO:0016830",0.0015270194672475,0.999492446066119,17,46,"carbon-carbon lyase activity","MF",0.31114489933117
"16441","GO:0090208",0.00156680744953589,0.999607307363909,12,28,"positive regulation of triglyceride metabolic process","BP",0.316211587267762
"15519","GO:0071396",0.00163031329149486,0.998929242677638,89,371,"cellular response to lipid","BP",0.325924235472336
"4431","GO:0009894",0.0016799497983313,0.998755889284384,170,774,"regulation of catabolic process","BP",0.329390091727042
"2533","GO:0005622",0.00168264269250252,0.998602227415863,1923,10592,"intracellular","CC",0.329390091727042
"6258","GO:0019373",0.00169733114744381,0.999609466512371,11,24,"epoxygenase P450 pathway","BP",0.329390091727042
"1594","GO:0003854",0.00170982540182033,0.999846096531461,6,9,"3-beta-hydroxy-delta5-steroid dehydrogenase activity","MF",0.329390091727042
"3154","GO:0006614",0.00173685716848029,0.99971487539737,8,16,"SRP-dependent cotranslational protein targeting to membrane","BP",0.331583245560954
"12089","GO:0046983",0.0017834174952489,0.998684887584172,163,747,"protein dimerization activity","MF",0.337432144123388
"10424","GO:0042802",0.00184918683998714,0.998504265865379,348,1708,"identical protein binding","MF",0.346779808196173
"8621","GO:0033559",0.0019414527343509,0.999117521324372,28,92,"unsaturated fatty acid metabolic process","BP",0.358028958402981
"7765","GO:0031965",0.00194296306056075,0.998857846146578,56,216,"nuclear membrane","CC",0.358028958402981
"7814","GO:0032052",0.00206438519063988,0.999866718761986,5,7,"bile acid binding","MF",0.375780457094431
"9638","GO:0035967",0.00207476350715155,0.999022719472384,30,100,"cellular response to topologically incorrect protein","BP",0.375780457094431
"1198","GO:0002753",0.0022578234998219,0.999283700503872,15,39,"cytoplasmic pattern recognition receptor signaling pathway","BP",0.404305764421312
"2588","GO:0005737",0.00227399719644862,0.998042548323778,1561,8502,"cytoplasm","CC",0.404305764421312
"7464","GO:0031324",0.00230930483447043,0.998099939637101,403,1992,"negative regulation of cellular metabolic process","BP",0.404305764421312
"15484","GO:0071346",0.00231525210208363,0.998931957502798,28,93,"cellular response to interferon-gamma","BP",0.404305764421312
"18470","GO:1902187",0.00234961969112945,0.999609026994899,8,15,"negative regulation of viral release from host cell","BP",0.404305764421312
"18250","GO:1901575",0.0023579950756637,0.998092781136832,330,1620,"organic substance catabolic process","BP",0.404305764421312
"572","GO:0001758",0.00236581165533683,0.999842008299613,5,7,"retinal dehydrogenase activity","MF",0.404305764421312
"13057","GO:0051172",0.00241229149056049,0.99802693942969,372,1830,"negative regulation of nitrogen compound metabolic process","BP",0.408950951811738
"18181","GO:1901363",0.00246252484390843,0.997883365434868,804,4169,"heterocyclic compound binding","MF",0.412211971994491
"5383","GO:0015931",0.00247043180799869,0.998613513218531,46,173,"nucleobase-containing compound transport","BP",0.412211971994491
"12358","GO:0048280",0.00249089002748562,0.999831506488473,5,7,"vesicle fusion with Golgi apparatus","BP",0.412378520097248
"7070","GO:0030492",0.00255944694294772,0.999909194125491,4,5,"hemoglobin binding","MF",0.418280440491086
"18178","GO:1901360",0.00256601657608613,0.997790099601901,831,4345,"organic cyclic compound metabolic process","BP",0.418280440491086
"3370","GO:0006950",0.00260697232644876,0.997806967820226,527,2681,"response to stress","BP",0.42171259976928
"886","GO:0002221",0.002687157371012,0.998611070834296,36,126,"pattern recognition receptor signaling pathway","BP",0.43139054431148
"20598","GO:2000142",0.00276547705478406,0.999053254473212,16,44,"regulation of DNA-templated transcription, initiation","BP",0.440587024266955
"12843","GO:0050830",0.00278602525844802,0.998831318939004,22,72,"defense response to Gram-positive bacterium","BP",0.440587024266955
"7276","GO:0030968",0.00286658447707793,0.99886587108932,20,60,"endoplasmic reticulum unfolded protein response","BP",0.446040230487701
"3215","GO:0006690",0.00289457279347007,0.998637975001693,28,95,"icosanoid metabolic process","BP",0.446040230487701
"12440","GO:0048519",0.00291978348856354,0.997488437356982,770,3993,"negative regulation of biological process","BP",0.446040230487701
"4594","GO:0010558",0.0029389518144785,0.997684128118747,245,1165,"negative regulation of macromolecule biosynthetic process","BP",0.446040230487701
"13177","GO:0051385",0.00297577813543067,0.999789528736704,5,7,"response to mineralocorticoid","BP",0.446040230487701
"13188","GO:0051412",0.00297577813543067,0.999789528736704,5,7,"response to corticosterone","BP",0.446040230487701
"9452","GO:0035634",0.00302836001969244,0.999344172810295,9,21,"response to stilbenoid","BP",0.446040230487701
"17704","GO:0120254",0.00305190336890033,0.998561908262445,28,93,"olefinic compound metabolic process","BP",0.446040230487701
"13858","GO:0060260",0.00305379469166812,0.999036299415942,14,37,"regulation of transcription initiation from RNA polymerase II promoter","BP",0.446040230487701
"13909","GO:0060332",0.00305437021990686,0.999782545860369,5,7,"positive regulation of response to interferon-gamma","BP",0.446040230487701
"13912","GO:0060335",0.00305437021990686,0.999782545860369,5,7,"positive regulation of interferon-gamma-mediated signaling pathway","BP",0.446040230487701
"8774","GO:0034101",0.00307309110713059,0.998408427162058,35,126,"erythrocyte homeostasis","BP",0.446040230487701
"4429","GO:0009892",0.00316791258968439,0.997349098356953,465,2337,"negative regulation of metabolic process","BP",0.455117477635925
"5828","GO:0016836",0.00317858462036321,0.998884516742138,16,46,"hydro-lyase activity","MF",0.455117477635925
"2539","GO:0005640",0.00327592813511862,0.999399511400589,8,16,"nuclear outer membrane","CC",0.465907336317441
"3002","GO:0006418",0.00330953303938957,0.998896209453516,15,40,"tRNA aminoacylation for protein translation","BP",0.467548764251363
"15415","GO:0071216",0.00338415639564536,0.998063129132864,46,176,"cellular response to biotic stimulus","BP",0.474924888610072
"8739","GO:0033993",0.00350306956234014,0.99749187952238,119,530,"response to lipid","BP",0.488034189515217
"11736","GO:0046165",0.00353981897008809,0.998210914333619,32,113,"alcohol biosynthetic process","BP",0.488034189515217
"1857","GO:0004364",0.00355004622613236,0.999097629815483,10,27,"glutathione transferase activity","MF",0.488034189515217
"3794","GO:0008207",0.00357347164322798,0.998916777972392,13,33,"C21-steroid hormone metabolic process","BP",0.488034189515217
"15461","GO:0071310",0.00359272019085337,0.99706191414116,339,1659,"cellular response to organic substance","BP",0.488034189515217
"4857","GO:0010941",0.00363931703050614,0.997089799944251,267,1298,"regulation of cell death","BP",0.490362620880493
"5709","GO:0016614",0.0036792479653259,0.9981101597403,33,119,"oxidoreductase activity, acting on CH-OH group of donors","MF",0.490362620880493
"3166","GO:0006631",0.00376256298130455,0.997504723280797,79,334,"fatty acid metabolic process","BP",0.490362620880493
"14328","GO:0061013",0.00377540893833337,0.998112041606413,31,106,"regulation of mRNA catabolic process","BP",0.490362620880493
"4620","GO:0010605",0.00380435107422538,0.996826698095787,425,2127,"negative regulation of macromolecule metabolic process","BP",0.490362620880493
"6476","GO:0020037",0.00381734229969944,0.998035796698444,33,118,"heme binding","MF",0.490362620880493
"12034","GO:0046890",0.00382059942342833,0.997895403957349,40,148,"regulation of lipid biosynthetic process","BP",0.490362620880493
"16400","GO:0090153",0.00382146640714206,0.999399004443823,7,13,"regulation of sphingolipid biosynthetic process","BP",0.490362620880493
"19811","GO:1905038",0.00382146640714206,0.999399004443823,7,13,"regulation of membrane lipid metabolic process","BP",0.490362620880493
"16158","GO:0072599",0.00384126256741833,0.998798457264549,13,36,"establishment of protein localization to endoplasmic reticulum","BP",0.490362620880493
"2631","GO:0005789",0.00386592193381515,0.9972633903194,109,486,"endoplasmic reticulum membrane","CC",0.490555399398065
"2476","GO:0005496",0.00396469557877412,0.998213565861607,24,79,"steroid binding","MF",0.500094428629776
"18246","GO:1901568",0.00399286381846325,0.997962299160465,32,114,"fatty acid derivative metabolic process","BP",0.500439535933491
"5835","GO:0016846",0.00401620973059893,0.999468679754356,6,11,"carbon-sulfur lyase activity","MF",0.500439535933491
"10571","GO:0043152",0.00404731023061573,0.999835280951601,4,5,"induction of bacterial agglutination","BP",0.500439535933491
"11587","GO:0045898",0.0040618942088887,0.99935346259334,7,13,"regulation of RNA polymerase II transcription preinitiation complex assembly","BP",0.500439535933491
"12262","GO:0048024",0.00411576764177515,0.998006806633089,28,96,"regulation of mRNA splicing, via spliceosome","BP",0.503794542289557
"5711","GO:0016616",0.00413667360475593,0.997906648714655,31,111,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","MF",0.503794542289557
"8275","GO:0032787",0.00417326641640234,0.997019441913351,113,503,"monocarboxylic acid metabolic process","BP",0.505346792171325
"5845","GO:0016863",0.00422612619825748,0.999290314140406,7,14,"intramolecular oxidoreductase activity, transposing C=C bonds","MF",0.508840001518604
"11005","GO:0044265",0.0042613969031494,0.996702676697295,193,916,"cellular macromolecule catabolic process","BP",0.510187919630729
"2159","GO:0004812",0.00437119086850843,0.998485386235715,15,41,"aminoacyl-tRNA ligase activity","MF",0.514733526948474
"5851","GO:0016875",0.00437119086850843,0.998485386235715,15,41,"ligase activity, forming carbon-oxygen bonds","MF",0.514733526948474
"1699","GO:0004032",0.00437223513995212,0.999260859841169,7,14,"alditol:NADP+ 1-oxidoreductase activity","MF",0.514733526948474
"5842","GO:0016860",0.00447749781377839,0.998428065644737,15,43,"intramolecular oxidoreductase activity","MF",0.523093990739414
"15272","GO:0070897",0.00456520456554519,0.998740474785868,11,27,"transcription preinitiation complex assembly","BP",0.523093990739414
"15520","GO:0071397",0.00460203329859007,0.999249126248688,7,13,"cellular response to cholesterol","BP",0.523093990739414
"7137","GO:0030638",0.0046160434273168,0.999558494181159,5,8,"polyketide metabolic process","BP",0.523093990739414
"7141","GO:0030647",0.0046160434273168,0.999558494181159,5,8,"aminoglycoside antibiotic metabolic process","BP",0.523093990739414
"11110","GO:0044597",0.0046160434273168,0.999558494181159,5,8,"daunorubicin metabolic process","BP",0.523093990739414
"11111","GO:0044598",0.0046160434273168,0.999558494181159,5,8,"doxorubicin metabolic process","BP",0.523093990739414
"5616","GO:0016441",0.00467535806887344,0.997957388777034,22,69,"posttranscriptional gene silencing","BP",0.526997408710091
"10176","GO:0042304",0.00477399355446578,0.998398934446255,14,38,"regulation of fatty acid biosynthetic process","BP",0.529782797942911
"1221","GO:0002792",0.00478644429435216,0.99785029802369,23,75,"negative regulation of peptide secretion","BP",0.529782797942911
"6280","GO:0019433",0.00478834670489197,0.998771019187448,10,24,"triglyceride catabolic process","BP",0.529782797942911
"3236","GO:0006721",0.00480007065287334,0.998228761621231,16,47,"terpenoid metabolic process","BP",0.529782797942911
"4024","GO:0008610",0.00484504108142558,0.996564275726599,105,466,"lipid biosynthetic process","BP",0.531975469204609
"5827","GO:0016835",0.00490466334694927,0.998048157821728,18,56,"carbon-oxygen lyase activity","MF",0.535745984459804
"4357","GO:0009605",0.00496933397410367,0.995893956968764,352,1754,"response to external stimulus","BP",0.540026442283235
"2440","GO:0005347",0.00501541045481618,0.999782082797397,4,5,"ATP transmembrane transporter activity","MF",0.542252872183723
"1557","GO:0003723",0.00509648679295897,0.996008612240449,204,989,"RNA binding","MF",0.548221581876109
"19954","GO:1905368",0.00520804774941887,0.997487988776446,26,94,"peptidase complex","CC",0.557392625545127
"20557","GO:2000051",0.00525721460401573,0.999768246913755,4,5,"negative regulation of non-canonical Wnt signaling pathway","BP",0.559827309918077
"10546","GO:0043111",0.00531866731716431,1,3,3,"replication fork arrest","BP",0.561039176869895
"12041","GO:0046906",0.00532154568216927,0.99715885955206,34,125,"tetrapyrrole binding","MF",0.561039176869895
"3795","GO:0008209",0.00542889265654498,0.998876745885105,8,17,"androgen metabolic process","BP",0.569111600393907
"3273","GO:0006790",0.00547219673620616,0.996541635452183,59,247,"sulfur compound metabolic process","BP",0.569111600393907
"10995","GO:0044241",0.00547868276534175,0.999031489100576,7,14,"lipid digestion","BP",0.569111600393907
"5437","GO:0016070",0.00554110856098177,0.995228341150262,634,3277,"RNA metabolic process","BP",0.572788446418365
"12621","GO:0048872",0.0056118550597632,0.99639608871301,63,261,"homeostasis of number of cells","BP",0.577285536754573
"4433","GO:0009896",0.00565981517451201,0.996036045441244,95,413,"positive regulation of catabolic process","BP",0.577939868805542
"12595","GO:0048821",0.00567276167767225,0.998244559075567,12,32,"erythrocyte development","BP",0.577939868805542
"906","GO:0002262",0.00572493834105504,0.996725570396635,41,159,"myeloid cell homeostasis","BP",0.580464920503815
"12764","GO:0050688",0.00577451375798383,0.997473593221781,21,67,"regulation of defense response to virus","BP",0.582703433549692
"3071","GO:0006520",0.00595470987376443,0.996275834339168,56,226,"cellular amino acid metabolic process","BP",0.59803913239309
"19277","GO:1903978",0.00602273649256394,0.998914943768395,7,14,"regulation of microglial cell activation","BP",0.598847863572271
"8492","GO:0033146",0.00604791277614925,0.99824279362116,11,28,"regulation of intracellular estrogen receptor signaling pathway","BP",0.598847863572271
"4122","GO:0009057",0.00608448060606909,0.995164648225257,223,1079,"macromolecule catabolic process","BP",0.598847863572271
"10866","GO:0043651",0.00611580248365944,0.998894777373982,7,14,"linoleic acid metabolic process","BP",0.598847863572271
"14033","GO:0060480",0.00625768881382011,1,3,3,"lung goblet cell differentiation","BP",0.598847863572271
"12091","GO:0046985",0.00625954785308868,1,3,3,"positive regulation of hemoglobin biosynthetic process","BP",0.598847863572271
"449","GO:0001523",0.00628291263103119,0.99779477938951,14,40,"retinoid metabolic process","BP",0.598847863572271
"4132","GO:0009068",0.00630399687662232,0.999078249648888,6,11,"aspartate family amino acid catabolic process","BP",0.598847863572271
"10413","GO:0042780",0.00631677892461062,0.999345286286114,5,8,"tRNA 3'-end processing","BP",0.598847863572271
"10007","GO:0039531",0.00633657547542159,0.998651406906389,8,17,"regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway","BP",0.598847863572271
"16377","GO:0090110",0.00645621353543031,0.998820462845613,7,14,"COPII-coated vesicle cargo loading","BP",0.598847863572271
"13816","GO:0060178",0.00645901309951145,1,3,3,"regulation of exocyst localization","BP",0.598847863572271
"9883","GO:0036500",0.00646997540210245,1,3,3,"ATF6-mediated unfolded protein response","BP",0.598847863572271
"19225","GO:1903891",0.00646997540210245,1,3,3,"regulation of ATF6-mediated unfolded protein response","BP",0.598847863572271
"19179","GO:1903786",0.00647440920723141,1,3,3,"regulation of glutathione biosynthetic process","BP",0.598847863572271
"4427","GO:0009890",0.00648979362061358,0.994759996230735,256,1242,"negative regulation of biosynthetic process","BP",0.598847863572271
"2192","GO:0004854",0.00649969367286217,1,3,3,"xanthine dehydrogenase activity","MF",0.598847863572271
"4164","GO:0009115",0.00649969367286217,1,3,3,"xanthine catabolic process","BP",0.598847863572271
"5764","GO:0016726",0.00649969367286217,1,3,3,"oxidoreductase activity, acting on CH or CH2 groups, NAD or NADP as acceptor","MF",0.598847863572271
"20586","GO:2000113",0.00657049112109972,0.99473261295072,238,1147,"negative regulation of cellular macromolecule biosynthetic process","BP",0.600245988605366
"10619","GO:0043229",0.00657151948263154,0.994303695795421,1726,9496,"intracellular organelle","CC",0.600245988605366
"18313","GO:1901700",0.00660671130095057,0.994738524260551,223,1076,"response to oxygen-containing compound","BP",0.600870468577011
"20694","GO:2000303",0.00665122862268881,0.999015645398293,6,11,"regulation of ceramide biosynthetic process","BP",0.602334127108541
"9788","GO:0036315",0.00681510842272426,0.99852999522744,8,17,"cellular response to sterol","BP",0.612796460999213
"3178","GO:0006646",0.00682459368580125,0.999278329169421,5,8,"phosphatidylethanolamine biosynthetic process","BP",0.612796460999213
"238","GO:0000502",0.0068557765947963,0.997063710150179,19,64,"proteasome complex","CC",0.612998995022482
"10516","GO:0043039",0.00691840202472094,0.997441988357103,15,43,"tRNA aminoacylation","BP",0.615526539055742
"174","GO:0000380",0.0069421378337182,0.99682700708626,22,73,"alternative mRNA splicing, via spliceosome","BP",0.615526539055742
"2371","GO:0005179",0.00703238939027079,0.998196509194532,9,23,"hormone activity","MF",0.620930681538451
"1241","GO:0002831",0.00712052757318221,0.995520732003821,55,223,"regulation of response to biotic stimulus","BP",0.625309641484328
"10286","GO:0042541",0.00723485198665652,0.998908667382349,6,11,"hemoglobin biosynthetic process","BP",0.625309641484328
"3235","GO:0006720",0.00724224872821605,0.996815248552947,20,66,"isoprenoid metabolic process","BP",0.625309641484328
