"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"15577","GO:0071310",3.72893983300481e-08,0.999999986813909,49,1725,"cellular response to organic substance","BP",1.65479473714241e-05
"11516","GO:0045595",3.93831186452113e-08,0.999999986610453,45,1505,"regulation of cell differentiation","BP",1.7120404291054e-05
"4669","GO:0010646",4.46678104006854e-08,0.999999982398557,64,2608,"regulation of cell communication","BP",1.90293805869e-05
"9300","GO:0035295",5.11747694884068e-08,0.999999985228107,33,903,"tube development","BP",2.13739953896579e-05
"3498","GO:0007169",5.26187057179564e-08,0.999999988422584,23,473,"transmembrane receptor protein tyrosine kinase signaling pathway","BP",2.14849883293106e-05
"449","GO:0001525",5.38250143010653e-08,0.999999988597765,22,440,"angiogenesis","BP",2.14849883293106e-05
"14861","GO:0062023",5.47884741421024e-08,0.999999990466815,18,299,"collagen-containing extracellular matrix","CC",2.14849883293106e-05
"6836","GO:0023051",5.5475064931791e-08,0.999999977970466,64,2622,"regulation of signaling","BP",2.14849883293106e-05
"12888","GO:0050789",6.1691688502573e-08,0.999999975142311,135,8001,"regulation of biological process","BP",2.34659760141662e-05
"12892","GO:0050794",6.70925162253035e-08,0.999999972409289,131,7655,"regulation of cellular process","BP",2.50725910195647e-05
"10133","GO:0042127",7.01305372764853e-08,0.999999977001957,40,1290,"regulation of cell population proliferation","BP",2.57560443883865e-05
"7327","GO:0031012",7.47421814986188e-08,0.999999985214913,20,374,"extracellular matrix","CC",2.69844611542725e-05
"12545","GO:0048583",8.07290519700804e-08,0.999999966839558,69,2975,"regulation of response to stimulus","BP",2.8660158933578e-05
"4637","GO:0010604",8.62537695735444e-08,0.999999965100003,65,2724,"positive regulation of macromolecule metabolic process","BP",3.01195335358372e-05
"15697","GO:0071495",9.10187109804193e-08,0.999999973004283,33,926,"cellular response to endogenous stimulus","BP",3.1270799396676e-05
"13183","GO:0051241",9.25121903923555e-08,0.999999971529807,35,1042,"negative regulation of multicellular organismal process","BP",3.1279399484882e-05
"2542","GO:0005615",1.09709597432705e-07,0.999999967783402,32,941,"extracellular space","CC",3.6514439608032e-05
"15374","GO:0070887",1.46348731215822e-07,0.999999943027668,55,2164,"cellular response to chemical stimulus","BP",4.79596049788956e-05
"2520","GO:0005576",1.66707086673903e-07,0.999999943310593,40,1370,"extracellular region","CC",5.38034492915273e-05
"6927","GO:0030154",1.74307944694814e-07,0.999999926361817,70,3084,"cell differentiation","BP",5.54169183573768e-05
"4653","GO:0010629",2.09943421525248e-07,0.999999924530887,44,1547,"negative regulation of gene expression","BP",6.48801383809889e-05
"13182","GO:0051240",2.10165229251595e-07,0.999999925262731,43,1481,"positive regulation of multicellular organismal process","BP",6.48801383809889e-05
"18400","GO:1901652",2.23484454261984e-07,0.999999957016574,18,327,"response to peptide","BP",6.80063194319218e-05
"17280","GO:0098772",2.48914773038626e-07,0.999999917361318,37,1215,"molecular function regulator","MF",7.46779377534616e-05
"12580","GO:0048660",2.77871499608443e-07,0.999999966412047,12,142,"regulation of smooth muscle cell proliferation","BP",8.22075112938813e-05
"13442","GO:0051716",3.21758515538617e-07,0.99999985424376,97,5089,"cellular response to stimulus","BP",9.31079412565868e-05
"3379","GO:0006950",3.23458412890823e-07,0.999999864569289,63,2732,"response to stress","BP",9.31079412565868e-05
"12695","GO:0048869",3.73547779654162e-07,0.999999838308924,70,3146,"cellular developmental process","BP",0.000106092550058844
"12579","GO:0048659",4.10423991044611e-07,0.999999948419269,12,147,"smooth muscle cell proliferation","BP",0.000115032124121596
"2204","GO:0004866",4.51343678037721e-07,0.999999956247147,10,102,"endopeptidase inhibitor activity","MF",0.000124858073842617
"2205","GO:0004867",4.8988054521288e-07,0.999999968000554,8,57,"serine-type endopeptidase inhibitor activity","MF",0.000133781352481789
"4573","GO:0010466",5.24264746114426e-07,0.999999932407718,12,154,"negative regulation of peptidase activity","BP",0.000141359029835233
"3483","GO:0007154",5.35296568091889e-07,0.999999756354951,86,4324,"cell communication","BP",0.000142529402461567
"10796","GO:0043434",5.53319861813601e-07,0.999999898982597,16,277,"response to peptide hormone","BP",0.000145509461438167
"4468","GO:0009966",6.00531839140555e-07,0.999999754118936,55,2236,"regulation of signal transduction","BP",0.000154229787702043
"5676","GO:0016525",6.00961099444608e-07,0.999999939950605,10,99,"negative regulation of angiogenesis","BP",0.000154229787702043
"14892","GO:0065007",6.16815066298373e-07,0.999999737012984,137,8416,"biological regulation","BP",0.000156414020562162
"7082","GO:0030414",6.80098400154103e-07,0.999999930800161,10,107,"peptidase inhibitor activity","MF",0.000170432659078618
"4442","GO:0009889",6.99747168736291e-07,0.999999697953888,64,2820,"regulation of biosynthetic process","BP",0.000173317609781997
"13621","GO:0052547",8.09165001220268e-07,0.999999847575066,16,296,"regulation of peptidase activity","BP",0.000197174224895255
"14518","GO:0061135",8.14578272887774e-07,0.999999915340129,10,109,"endopeptidase regulator activity","MF",0.000197174224895255
"20703","GO:2000181",8.71938453362276e-07,0.99999990895565,10,103,"negative regulation of blood vessel morphogenesis","BP",0.000207341819735658
"2967","GO:0006357",8.7605106690809e-07,0.999999673113447,42,1505,"regulation of transcription by RNA polymerase II","BP",0.000207341819735658
"4575","GO:0010468",8.90332918653474e-07,0.999999603564158,70,3236,"regulation of gene expression","BP",0.000208406390112502
"6987","GO:0030234",9.13001950877993e-07,0.999999732468764,27,761,"enzyme regulator activity","MF",0.000211389723431001
"18295","GO:1901342",9.24634245792868e-07,0.999999824074709,16,290,"regulation of vasculature development","BP",0.00021178101150144
"13085","GO:0051093",9.50287973800661e-07,0.999999707930794,29,842,"negative regulation of developmental process","BP",0.000215341320531148
"19217","GO:1903670",9.69486453693839e-07,0.999999930138494,8,61,"regulation of sprouting angiogenesis","BP",0.000217379273159289
"4671","GO:0010648",9.93310343184005e-07,0.999999659121948,35,1141,"negative regulation of cell communication","BP",0.000220401079376693
"6839","GO:0023057",1.03695356492558e-06,0.999999643422591,35,1143,"negative regulation of signaling","BP",0.000227712864809071
"14894","GO:0065009",1.07144143201414e-06,0.999999566815119,50,2003,"regulation of molecular function","BP",0.000232885448401359
"11623","GO:0045765",1.08730645669136e-06,0.999999803975863,15,259,"regulation of angiogenesis","BP",0.000233946614484673
"16380","GO:0080134",1.13209371384567e-06,0.999999621246425,33,1055,"regulation of response to stress","BP",0.000241147281986266
"4879","GO:0010942",1.36780251422494e-06,0.999999633071728,23,590,"positive regulation of cell death","BP",0.000288470904509956
"3495","GO:0007166",1.47750698725341e-06,0.999999404414224,48,1873,"cell surface receptor signaling pathway","BP",0.000307374999732266
"6837","GO:0023052",1.48629759036775e-06,0.999999304048234,84,4275,"signaling","BP",0.000307374999732266
"4470","GO:0009968",1.58341924420274e-06,0.999999470526404,32,1007,"negative regulation of signal transduction","BP",0.000324311666545794
"11062","GO:0044260",1.63154255828798e-06,0.9999992244055,103,5710,"cellular macromolecule metabolic process","BP",0.000330057699475082
"3853","GO:0008283",1.64246355308946e-06,0.999999370429683,42,1563,"cell population proliferation","BP",0.000330057699475082
"7495","GO:0031326",1.69554794167205e-06,0.999999251989685,62,2759,"regulation of cellular biosynthetic process","BP",0.000337540810332301
"361","GO:0000981",1.7600912797259e-06,0.999999536167484,22,532,"DNA-binding transcription factor activity, RNA polymerase II-specific","MF",0.000347145410642975
"2974","GO:0006366",1.87459117716033e-06,0.999999277408175,42,1555,"transcription by RNA polymerase II","BP",0.000366336391419195
"9421","GO:0035556",1.89726650110418e-06,0.999999215689872,50,2016,"intracellular signal transduction","BP",0.000367397034000183
"18296","GO:1901343",2.07819839752581e-06,0.9999997594318,10,113,"negative regulation of vasculature development","BP",0.000398808144736012
"14194","GO:0060548",2.12010122466069e-06,0.999999333913783,28,841,"negative regulation of cell death","BP",0.000403216751665155
"8648","GO:0033554",2.14279516710471e-06,0.999999177813552,41,1527,"cellular response to stress","BP",0.000403926370393782
"3496","GO:0007167",2.19094526639677e-06,0.999999342139799,26,720,"enzyme linked receptor protein signaling pathway","BP",0.000409380044908048
"13086","GO:0051094",2.82624737002784e-06,0.999998980380049,35,1191,"positive regulation of developmental process","BP",0.000523494741121417
"12581","GO:0048661",3.06864675279155e-06,0.999999681986245,9,93,"positive regulation of smooth muscle cell proliferation","BP",0.000561325840176737
"8768","GO:0033993",3.08319437118812e-06,0.9999991856399,21,521,"response to lipid","BP",0.000561325840176737
"8806","GO:0034097",3.14608107771629e-06,0.999999084222196,24,664,"response to cytokine","BP",0.000564801050642711
"8132","GO:0032501",3.15531313208218e-06,0.999998469439843,97,5308,"multicellular organismal process","BP",0.000564801050642711
"9189","GO:0035014",3.22832128970609e-06,0.999999906978876,5,18,"phosphatidylinositol 3-kinase regulator activity","MF",0.000573053931600245
"13622","GO:0052548",3.51434182742715e-06,0.99999934669349,14,255,"regulation of endopeptidase activity","BP",0.000617245068415329
"4883","GO:0010951",3.53522831541572e-06,0.999999563436441,10,123,"negative regulation of endopeptidase activity","BP",0.000617245068415329
"2965","GO:0006355",3.95228915771577e-06,0.999998295074629,52,2189,"regulation of transcription, DNA-templated","BP",0.000684452937792713
"12578","GO:0048646",4.0034034448816e-06,0.9999986447414,30,945,"anatomical structure formation involved in morphogenesis","BP",0.000687713683705023
"19133","GO:1903506",4.40705533066003e-06,0.99999809069413,52,2197,"regulation of nucleic acid-templated transcription","BP",0.000750997484787114
"21203","GO:2001141",4.53063221130302e-06,0.999998035003589,52,2199,"regulation of RNA biosynthetic process","BP",0.000765928545499727
"7496","GO:0031327",4.62172653949328e-06,0.99999829208124,35,1216,"negative regulation of cellular biosynthetic process","BP",0.000775176354470444
"4610","GO:0010556",5.02662027035838e-06,0.999997724814033,59,2653,"regulation of macromolecule biosynthetic process","BP",0.000836500299835187
"3761","GO:0008134",5.11244414017063e-06,0.999998509844275,23,623,"transcription factor binding","MF",0.000844187384726934
"3494","GO:0007165",5.25160332395741e-06,0.99999747128594,77,3908,"signal transduction","BP",0.000860495403104744
"14517","GO:0061134",5.52088871077689e-06,0.999999279323805,10,136,"peptidase regulator activity","MF",0.000897713362047774
"12889","GO:0050790",5.59752746813988e-06,0.999997805576264,39,1471,"regulation of catalytic activity","BP",0.000903279792415512
"4612","GO:0010558",5.74847834283827e-06,0.999997882644551,34,1175,"negative regulation of macromolecule biosynthetic process","BP",0.000920664189329308
"17899","GO:0140297",6.13947685952009e-06,0.999998636991875,16,331,"DNA-binding transcription factor binding","MF",0.000975947735706249
"11681","GO:0045892",6.34332057782504e-06,0.999997798346329,30,971,"negative regulation of transcription, DNA-templated","BP",0.00100088201206112
"785","GO:0002040",6.57538555957822e-06,0.999999246622491,9,102,"sprouting angiogenesis","BP",0.00102986976326894
"18772","GO:1902679",6.84050340419704e-06,0.999997615965415,30,975,"negative regulation of RNA biosynthetic process","BP",0.00105586639864349
"19134","GO:1903507",6.84050340419704e-06,0.999997615965415,30,975,"negative regulation of nucleic acid-templated transcription","BP",0.00105586639864349
"13184","GO:0051246",7.08347774775821e-06,0.999996891970139,51,2193,"regulation of protein metabolic process","BP",0.00108550474464027
"11020","GO:0044092",7.75408264716223e-06,0.999997490613874,26,798,"negative regulation of molecular function","BP",0.00117978367476573
"17870","GO:0140110",8.08048680290016e-06,0.999997108576928,31,1033,"transcription regulator activity","MF",0.00121398858366796
"4443","GO:0009890",8.09287727716304e-06,0.999996924978812,35,1250,"negative regulation of biosynthetic process","BP",0.00121398858366796
"434","GO:0001503",8.37016264502005e-06,0.999998201496611,15,302,"ossification","BP",0.00124680303847253
"20653","GO:2000112",9.40624047909722e-06,0.999995681554415,57,2575,"regulation of cellular macromolecule biosynthetic process","BP",0.00139140505864757
"15828","GO:0071704",9.65459573447603e-06,0.999995299035205,125,7713,"organic substance metabolic process","BP",0.00141829340510396
"7960","GO:0032268",1.02224337910094e-05,0.999995537793924,48,2037,"regulation of cellular protein metabolic process","BP",0.00149142508344035
"8451","GO:0033002",1.08916900282897e-05,0.999998086677098,12,199,"muscle cell proliferation","BP",0.00157825775028979
"13191","GO:0051253",1.10322834615197e-05,0.999995985229032,31,1052,"negative regulation of RNA metabolic process","BP",0.0015878288514448
"60","GO:0000122",1.16392461536561e-05,0.9999963234818,24,698,"negative regulation of transcription by RNA polymerase II","BP",0.00165877160690694
"2961","GO:0006351",1.16809417884626e-05,0.999994736531073,52,2278,"transcription, DNA-templated","BP",0.00165877160690694
"2320","GO:0005102",1.25131747403858e-05,0.999995340965888,32,1136,"signaling receptor binding","MF",0.00175735100597007
"10631","GO:0043170",1.25401320551829e-05,0.999993687377445,112,6655,"macromolecule metabolic process","BP",0.00175735100597007
"17129","GO:0097659",1.29269197202044e-05,0.999994150793808,52,2286,"nucleic acid-templated transcription","BP",0.00178964866196362
"19218","GO:1903671",1.29386363993426e-05,0.99999947254616,5,24,"negative regulation of sprouting angiogenesis","BP",0.00178964866196362
"3773","GO:0008152",1.34154126027203e-05,0.999993475421007,129,8127,"metabolic process","BP",0.00184362389580997
"10580","GO:0043065",1.35414882710223e-05,0.999996172718259,20,536,"positive regulation of apoptotic process","BP",0.0018490207798785
"8299","GO:0032774",1.41502408464638e-05,0.99999357336053,52,2293,"RNA biosynthetic process","BP",0.00191983618006704
"13253","GO:0051346",1.46353592908036e-05,0.999996898350289,14,284,"negative regulation of hydrolase activity","BP",0.00197308726742664
"10583","GO:0043068",1.49768560383179e-05,0.999995735988292,20,540,"positive regulation of programmed cell death","BP",0.00200642773881893
"10581","GO:0043066",1.54313956506126e-05,0.999995034965486,24,731,"negative regulation of apoptotic process","BP",0.00205440099221062
"3289","GO:0006807",1.56741985545464e-05,0.999992072044348,114,6865,"nitrogen compound metabolic process","BP",0.00207376461745585
"7961","GO:0032269",1.67995889942506e-05,0.999994302999449,26,826,"negative regulation of cellular protein metabolic process","BP",0.00220893855041069
"15620","GO:0071375",1.77445630931681e-05,0.999996718577493,12,209,"cellular response to peptide hormone stimulus","BP",0.00231887692299125
"1563","GO:0003700",1.78990547695784e-05,0.999994188113811,24,711,"DNA-binding transcription factor activity","MF",0.00232480344906578
"13186","GO:0051248",1.88050263983735e-05,0.999993441850864,27,882,"negative regulation of protein metabolic process","BP",0.00241487670064749
"11518","GO:0045597",1.88697852562112e-05,0.99999341869253,27,872,"positive regulation of cell differentiation","BP",0.00241487670064749
"11713","GO:0045934",1.89326514721436e-05,0.999992793069269,32,1136,"negative regulation of nucleobase-containing compound metabolic process","BP",0.00241487670064749
"4370","GO:0009605",2.00676325140481e-05,0.999991321276993,43,1788,"response to external stimulus","BP",0.00254440857251035
"12618","GO:0048705",2.06660449727985e-05,0.999996117281038,12,210,"skeletal system morphogenesis","BP",0.00260477765660107
"12153","GO:0046935",2.10386351343696e-05,0.999999495288891,4,13,"1-phosphatidylinositol-3-kinase regulator activity","MF",0.00263614098233652
"10584","GO:0043069",2.15876091353565e-05,0.999992901703441,24,746,"negative regulation of programmed cell death","BP",0.00268910913562707
"4742","GO:0010757",2.1805870676281e-05,0.999999857981246,3,5,"negative regulation of plasminogen activation","BP",0.00270050494927593
"733","GO:0001968",2.2606000686745e-05,0.999998945307999,5,27,"fibronectin binding","MF",0.00278341283600205
"20654","GO:2000113",2.31830296298368e-05,0.999991077533142,32,1144,"negative regulation of cellular macromolecule biosynthetic process","BP",0.00283805582842043
"9090","GO:0034654",2.41905010863872e-05,0.999988524689187,56,2606,"nucleobase-containing compound biosynthetic process","BP",0.00294446779223506
"11054","GO:0044238",2.53502144789568e-05,0.999987052650432,118,7242,"primary metabolic process","BP",0.00306809612850147
"12697","GO:0048871",2.56471489659771e-05,0.999993574051033,16,373,"multicellular organismal homeostasis","BP",0.00308649672386598
"10107","GO:0042089",2.85888989969336e-05,0.999996612613037,8,96,"cytokine biosynthetic process","BP",0.00341480410700609
"13190","GO:0051252",2.86958328319839e-05,0.999986501245379,53,2410,"regulation of RNA metabolic process","BP",0.00341480410700609
"14708","GO:0061629",3.03631398751951e-05,0.99999356729088,13,257,"RNA polymerase II-specific DNA-binding transcription factor binding","MF",0.00359314023600851
"4444","GO:0009891",3.12999372963597e-05,0.999986676726185,39,1563,"positive regulation of biosynthetic process","BP",0.00368353571463954
"10122","GO:0042107",3.24196678567138e-05,0.999996085653501,8,98,"cytokine metabolic process","BP",0.00379153046364551
"6210","GO:0019207",3.25735916082404e-05,0.999994733738068,10,158,"kinase regulator activity","MF",0.00379153046364551
"6221","GO:0019219",3.42412688991901e-05,0.999983524300277,56,2620,"regulation of nucleobase-containing compound metabolic process","BP",0.00396398515663939
"13185","GO:0051247",3.59711697847481e-05,0.999985243343844,35,1355,"positive regulation of protein metabolic process","BP",0.00414173993289146
"10589","GO:0043086",4.05644819457047e-05,0.999987994633507,19,531,"negative regulation of catalytic activity","BP",0.00463637042913748
"13531","GO:0051917",4.09200338330523e-05,0.999999607737364,3,6,"regulation of fibrinolysis","BP",0.00463637042913748
"13532","GO:0051918",4.09200338330523e-05,0.999999607737364,3,6,"negative regulation of fibrinolysis","BP",0.00463637042913748
"2521","GO:0005577",4.26114198879679e-05,0.999999585867578,3,6,"fibrinogen complex","CC",0.00480246484144764
"10430","GO:0042730",4.34727829436647e-05,0.999998673439472,4,16,"fibrinolysis","BP",0.00487375657622633
"432","GO:0001501",4.41287829119722e-05,0.999987862722762,17,431,"skeletal system development","BP",0.00488198850908467
"11721","GO:0045944",4.41987444627908e-05,0.999983459728434,28,964,"positive regulation of transcription by RNA polymerase II","BP",0.00488198850908467
"6056","GO:0018130",4.42337816183908e-05,0.999978487979271,56,2664,"heterocycle biosynthetic process","BP",0.00488198850908467
"6298","GO:0019438",4.54728674235966e-05,0.999977859864765,56,2666,"aromatic compound biosynthetic process","BP",0.00499287396386614
"15895","GO:0071839",4.58538009009231e-05,0.999999543115829,3,6,"apoptotic process in bone marrow cell","BP",0.0050088810922593
"14627","GO:0061448",4.74121889029977e-05,0.999990262392212,12,231,"connective tissue development","BP",0.00515268895827936
"13244","GO:0051336",4.7794969745179e-05,0.999983440471236,24,781,"regulation of hydrolase activity","BP",0.00516792208396983
"19390","GO:1904018",5.09138644557008e-05,0.999991299493022,10,167,"positive regulation of vasculature development","BP",0.00547735468066102
"19738","GO:1904707",5.67694135191044e-05,0.999996701432776,5,33,"positive regulation of vascular smooth muscle cell proliferation","BP",0.00607660943402232
"6934","GO:0030162",5.85062847341784e-05,0.999982182240305,19,551,"regulation of proteolysis","BP",0.00623121185561367
"11672","GO:0045861",5.98661790339151e-05,0.999987379236871,12,246,"negative regulation of proteolysis","BP",0.00634372470917641
"18721","GO:1902531",6.0158320794969e-05,0.999974940947536,34,1319,"regulation of intracellular signal transduction","BP",0.00634372470917641
"14185","GO:0060537",6.1369351619855e-05,0.999983410875022,16,401,"muscle tissue development","BP",0.00643954955100755
"7664","GO:0031639",6.42853727805011e-05,0.999997755276724,4,19,"plasminogen activation","BP",0.00671246434116399
"11053","GO:0044237",6.4816303431039e-05,0.99996586248657,119,7474,"cellular metabolic process","BP",0.00673488819211981
"357","GO:0000976",6.99651078986546e-05,0.999976989209809,21,627,"transcription regulatory region sequence-specific DNA binding","MF",0.00722257588083308
"7882","GO:0032101",7.01879351829702e-05,0.99997625067579,22,695,"regulation of response to external stimulus","BP",0.00722257588083308
"18007","GO:1900076",7.10986661713402e-05,0.999992035589533,7,78,"regulation of cellular response to insulin stimulus","BP",0.00728111869286402
"16490","GO:0090049",7.31537318647223e-05,0.999995486022463,5,35,"regulation of cell migration involved in sprouting angiogenesis","BP",0.00745573034665287
"11478","GO:0045453",7.45275799571942e-05,0.999993449017643,6,55,"bone resorption","BP",0.00755958086032474
"379","GO:0001067",7.67509808667064e-05,0.999974584417939,21,631,"regulatory region nucleic acid binding","MF",0.00773617092585528
"3484","GO:0007155",7.69948939618478e-05,0.999969693538842,29,1035,"cell adhesion","BP",0.00773617092585528
"11068","GO:0044271",8.19014291965542e-05,0.999958134107385,62,3177,"cellular nitrogen compound biosynthetic process","BP",0.00819052743340751
"358","GO:0000977",8.28170133587471e-05,0.999973233806965,20,587,"RNA polymerase II transcription regulatory region sequence-specific DNA binding","MF",0.00824338879231155
"3856","GO:0008286",8.40467645238395e-05,0.999988313614243,8,108,"insulin receptor signaling pathway","BP",0.00832688433080142
"11714","GO:0045935",8.60943838926561e-05,0.999962581033736,36,1453,"positive regulation of nucleobase-containing compound metabolic process","BP",0.00849026144119198
"6785","GO:0022610",8.86473573203253e-05,0.99996480742567,29,1043,"biological adhesion","BP",0.00870173897825
"14893","GO:0065008",9.01427413126374e-05,0.999954075139685,60,2984,"regulation of biological quality","BP",0.00879414110806177
"18401","GO:1901653",9.0414389120958e-05,0.999980080301945,12,247,"cellular response to peptide","BP",0.00879414110806177
"7497","GO:0031328",0.000104546590129601,0.999953603272749,37,1530,"positive regulation of cellular biosynthetic process","BP",0.0101224859834119
"18301","GO:1901362",0.000108566433551341,0.999945142888397,56,2752,"organic cyclic compound biosynthetic process","BP",0.0104641339415254
"10086","GO:0042035",0.000109596097711215,0.999986770072214,7,86,"regulation of cytokine biosynthetic process","BP",0.0105157949430027
"11624","GO:0045766",0.000111072349301265,0.999981374460987,9,149,"positive regulation of angiogenesis","BP",0.0106096507285481
"12326","GO:0048008",0.000122669836039869,0.999988116578491,6,60,"platelet-derived growth factor receptor signaling pathway","BP",0.0116651347209163
"4985","GO:0014706",0.000125180792361482,0.999965618253138,15,382,"striated muscle tissue development","BP",0.0118510047026308
"7239","GO:0030855",0.000128227236303483,0.99996299113929,16,423,"epithelial cell differentiation","BP",0.0120857007101791
"4477","GO:0009991",0.000130815000493322,0.999967802289867,13,303,"response to extracellular stimulus","BP",0.012186778587648
"6955","GO:0030194",0.000131016022560978,0.999994401320438,4,21,"positive regulation of blood coagulation","BP",0.012186778587648
"17998","GO:1900048",0.000131016022560978,0.999994401320438,4,21,"positive regulation of hemostasis","BP",0.012186778587648
"359","GO:0000978",0.000134565255947169,0.99996099619775,16,422,"RNA polymerase II cis-regulatory region sequence-specific DNA binding","MF",0.0124624978996985
"12014","GO:0046627",0.000136866970816145,0.99999026403478,5,38,"negative regulation of insulin receptor signaling pathway","BP",0.0126207937028342
"13192","GO:0051254",0.000140128791001678,0.999939545547218,33,1312,"positive regulation of RNA metabolic process","BP",0.0128379701578213
